,term,NN 0,NN 1,NN2,NN 5,NN10,NN 50,Outlier
0,physicalism,"('nominalism', 0.9771907329559326)","('maxim', 0.9769371747970581)","('dispositions', 0.9762290120124817)","[('ideas', 0.9741212129592896)]","[('prediction', 0.9716770648956299)]","[('truth_vehicles', 0.9640743732452393)]","('humean', 0.5540839433670044)"
1,words,"('divided_reference', 0.9983129501342773)","('dispositions', 0.997799277305603)","('relative_terms', 0.9977567791938782)","[('ideas', 0.9973365664482117)]","[('sense_datum', 0.9968376159667969)]","[('truth_vehicles', 0.9895411729812622)]","('know', 0.5574753284454346)"
2,quantifiers,"('numbers', 0.9977477788925171)","('application', 0.9974677562713623)","('truth_vehicles', 0.9973220825195312)","[('variables', 0.9970763921737671)]","[('propositional_attitudes', 0.9964138269424438)]","[('divided_reference', 0.9851743578910828)]","('therefore', 0.5578526854515076)"
3,variables,"('pronouns', 0.9997820258140564)","('subtraction', 0.9997425079345703)","('ordered_pair', 0.999732255935669)","[('truth_functions', 0.9996634125709534)]","[('transparency', 0.9995623826980591)]","[('divided_reference', 0.9923685193061829)]","('so', 0.5491228103637695)"
4,maxim,"('dispositions', 0.9989765882492065)","('memory', 0.9978544116020203)","('mentalistic', 0.9976553916931152)","[('conditioning', 0.99692302942276)]","[('words', 0.9967654347419739)]","[('truth_vehicles', 0.9901173114776611)]","('understand', 0.5604499578475952)"
5,specious_present,"('divided_reference', 0.9981384873390198)","('learning', 0.9972964525222778)","('words', 0.9972647428512573)","[('relative_terms', 0.9966515302658081)]","[('sense_datum', 0.9952532052993774)]","[('information', 0.9889106154441833)]","('understand', 0.5398096442222595)"
6,phoneme,"('divided_reference', 0.9980505704879761)","('dispositions', 0.9980478286743164)","('words', 0.9977518320083618)","[('learning', 0.997428297996521)]","[('maxim', 0.9968501329421997)]","[('truth_vehicles', 0.9913235902786255)]","('understand', 0.5544589161872864)"
7,numbers,"('application', 0.9998709559440613)","('subtraction', 0.9998165369033813)","('pronouns', 0.9997915029525757)","[('variables', 0.9995531439781189)]","[('propositional_attitudes', 0.9994351863861084)]","[('divided_reference', 0.9911403656005859)]","('actually', 0.5572020411491394)"
8,learning,"('divided_reference', 0.9994985461235046)","('dispositions', 0.9987604022026062)","('memory', 0.9978920221328735)","[('specious_present', 0.9972964525222778)]","[('maxim', 0.9964597225189209)]","[('truth_vehicles', 0.9892293214797974)]","('might', 0.5569146275520325)"
9,divided_reference,"('learning', 0.9994984865188599)","('dispositions', 0.9988120198249817)","('words', 0.9983128309249878)","[('phoneme', 0.9980504512786865)]","[('conditioning', 0.9968869090080261)]","[('truth_vehicles', 0.989423394203186)]","('denotative', 0.5513116121292114)"
10,information,"('memory', 0.9897619485855103)","('learning', 0.9890459775924683)","('divided_reference', 0.9889236688613892)","[('mentalistic', 0.987843930721283)]","[('ideas', 0.9870803952217102)]","[('numbers', 0.9829338788986206)]","('fact', 0.546683132648468)"
11,nominalism,"('ideas', 0.9992446899414062)","('parts', 0.9989736080169678)","('sense_datum', 0.99892657995224)","[('reality', 0.998828113079071)]","[('mental_states', 0.9984844923019409)]","[('specious_present', 0.9940524101257324)]","('semantical', 0.5491716265678406)"
12,paradox,"('confirmation', 0.999510645866394)","('ordered_pair', 0.9995003938674927)","('truth_functions', 0.9994932413101196)","[('meaning', 0.9994482398033142)]","[('posit', 0.9994304776191711)]","[('learning', 0.9934114217758179)]","('actually', 0.5667358040809631)"
13,truth_functions,"('transparency', 0.9999290704727173)","('propositional_attitudes', 0.9999276399612427)","('about', 0.9999269247055054)","[('observation_sentences', 0.999910831451416)]","[('objects', 0.9999024868011475)]","[('learning', 0.9944412708282471)]","('actually', 0.5627133846282959)"
14,dispositions,"('maxim', 0.9989765882492065)","('divided_reference', 0.9988120198249817)","('learning', 0.998760461807251)","[('ideas', 0.9982466101646423)]","[('sense_datum', 0.997540295124054)]","[('truth_vehicles', 0.9904962778091431)]","('understand', 0.5567533373832703)"
15,relative_terms,"('words', 0.9977567791938782)","('divided_reference', 0.9974598288536072)","('memory', 0.9973345994949341)","[('conditioning', 0.997035026550293)]","[('mental_states', 0.9966591596603394)]","[('truth_vehicles', 0.9921378493309021)]","('understand', 0.5340537428855896)"
