,term,NN 0,NN 1,NN2,NN 5,NN10,NN 50,Outlier
0,physicalism,"('nominalism', 0.9769399166107178)","('maxim', 0.9766256809234619)","('dispositions', 0.9759489297866821)","[('ideas', 0.9736303091049194)]","[('prediction', 0.9712145328521729)]","[('numbers', 0.9627819657325745)]","('humean', 0.5551741123199463)"
1,words,"('divided_reference', 0.9982525110244751)","('phoneme', 0.9976856708526611)","('dispositions', 0.9976189136505127)","[('ideas', 0.9973134994506836)]","[('sense_datum', 0.9968229532241821)]","[('quantifiers', 0.9857760667800903)]","('know', 0.5581190586090088)"
2,quantifiers,"('numbers', 0.9977171421051025)","('application', 0.9975079298019409)","('pronouns', 0.9972005486488342)","[('ordered_pair', 0.9968820810317993)]","[('about', 0.9963755011558533)]","[('divided_reference', 0.9848265647888184)]","('therefore', 0.5582317113876343)"
3,variables,"('pronouns', 0.9997768402099609)","('subtraction', 0.9997210502624512)","('ordered_pair', 0.9997198581695557)","[('truth_functions', 0.9996564984321594)]","[('transparency', 0.999566912651062)]","[('learning', 0.9920088052749634)]","('so', 0.5492449998855591)"
4,maxim,"('dispositions', 0.9989050626754761)","('memory', 0.9977332353591919)","('mentalistic', 0.997586727142334)","[('conditioning', 0.9968525171279907)]","[('words', 0.9965705275535583)]","[('quantifiers', 0.9858598113059998)]","('understand', 0.561293363571167)"
5,specious_present,"('divided_reference', 0.9979617595672607)","('learning', 0.9970555901527405)","('words', 0.9970314502716064)","[('phoneme', 0.9962973594665527)]","[('sense_datum', 0.9949311017990112)]","[('information', 0.9875952005386353)]","('understand', 0.5399347543716431)"
6,phoneme,"('divided_reference', 0.9979925751686096)","('dispositions', 0.9978509545326233)","('words', 0.9976856708526611)","[('learning', 0.9972650408744812)]","[('maxim', 0.9966157674789429)]","[('quantifiers', 0.9864861369132996)]","('understand', 0.5554367899894714)"
7,numbers,"('application', 0.9998621940612793)","('subtraction', 0.9998225569725037)","('pronouns', 0.9998013973236084)","[('variables', 0.9995297193527222)]","[('propositional_attitudes', 0.9994188547134399)]","[('learning', 0.9907165169715881)]","('actually', 0.5572963953018188)"
8,learning,"('divided_reference', 0.9994566440582275)","('dispositions', 0.9986038208007812)","('memory', 0.9977576732635498)","[('words', 0.9971244931221008)]","[('sense_datum', 0.9961711168289185)]","[('information', 0.9877327680587769)]","('might', 0.5574086308479309)"
9,divided_reference,"('learning', 0.9994566440582275)","('dispositions', 0.9987171292304993)","('words', 0.9982526302337646)","[('specious_present', 0.9979617595672607)]","[('maxim', 0.9967304468154907)]","[('information', 0.9876145124435425)]","('denotative', 0.5519613027572632)"
10,information,"('memory', 0.9886811971664429)","('learning', 0.9877327680587769)","('divided_reference', 0.9876145124435425)","[('mentalistic', 0.9865294694900513)]","[('ideas', 0.985662579536438)]","[('application', 0.9811017513275146)]","('fact', 0.546999454498291)"
11,nominalism,"('ideas', 0.9991998076438904)","('parts', 0.9989086985588074)","('sense_datum', 0.9988611936569214)","[('reality', 0.9987419247627258)]","[('mental_states', 0.9983776807785034)]","[('quantifiers', 0.9925279021263123)]","('semantical', 0.5494537353515625)"
12,paradox,"('confirmation', 0.9994828701019287)","('ordered_pair', 0.9994755983352661)","('truth_functions', 0.9994533061981201)","[('meaning', 0.9994145631790161)]","[('posit', 0.9993957877159119)]","[('specious_present', 0.9921902418136597)]","('actually', 0.5669885873794556)"
13,truth_functions,"('transparency', 0.9999262094497681)","('propositional_attitudes', 0.9999222159385681)","('about', 0.9999209046363831)","[('observation_sentences', 0.9999052286148071)]","[('objects', 0.999895453453064)]","[('specious_present', 0.9929159283638)]","('actually', 0.5629391074180603)"
14,dispositions,"('maxim', 0.9989051222801208)","('divided_reference', 0.9987171292304993)","('learning', 0.9986037015914917)","[('ideas', 0.9979704022407532)]","[('sense_datum', 0.9972099661827087)]","[('information', 0.9872146248817444)]","('understand', 0.5583932995796204)"
15,relative_terms,"('words', 0.9974943399429321)","('divided_reference', 0.9970896244049072)","('memory', 0.997005820274353)","[('mentalistic', 0.9967713952064514)]","[('ambiguity', 0.9964219331741333)]","[('quantifiers', 0.9880157709121704)]","('understand', 0.532896101474762)"
16,ideas,"('conditioning', 0.999886155128479)","('parts', 0.9998587965965271)","('sense_datum', 0.9998126029968262)","[('memory', 0.9996693134307861)]","[('construction', 0.999465823173523)]","[('quantifiers', 0.9931572079658508)]","('indeed', 0.5571162700653076)"
17,reality,"('quantification', 0.9999641180038452)","('nouns', 0.9999411702156067)","('description', 0.9999376535415649)","[('translation', 0.9999025464057922)]","[('attributes', 0.9998869299888611)]","[('specious_present', 0.9936561584472656)]","('actually', 0.5653594732284546)"
18,application,"('numbers', 0.9998621940612793)","('subtraction', 0.9998617172241211)","('pronouns', 0.9998340606689453)","[('variables', 0.9996622800827026)]","[('transparency', 0.9994365572929382)]","[('learning', 0.9907624125480652)]","('actually', 0.5564727783203125)"
19,reduction,"('ordered_pair', 0.9999862909317017)","('pronouns', 0.9999719858169556)","('subtraction', 0.9999603033065796)","[('about', 0.9999010562896729)]","[('observation_sentences', 0.999828577041626)]","[('truth_vehicles', 0.9923275113105774)]","('actually', 0.5612348914146423)"
20,parts,"('conditioning', 0.9999769926071167)","('sense_datum', 0.9999688863754272)","('prediction', 0.9999641180038452)","[('ideas', 0.9998587965965271)]","[('translation', 0.9997880458831787)]","[('quantifiers', 0.9946000576019287)]","('actually', 0.5674319267272949)"
21,ambiguity,"('object', 0.9994663000106812)","('nouns', 0.9994092583656311)","('intension', 0.9993693232536316)","[('adjectives', 0.999364972114563)]","[('intensional_abstraction', 0.9993571639060974)]","[('specious_present', 0.9931604862213135)]","('actually', 0.5623689889907837)"
22,memory,"('ideas', 0.9996693134307861)","('mentalistic', 0.9995152950286865)","('conditioning', 0.9994648098945618)","[('prediction', 0.9992390871047974)]","[('object', 0.9988345503807068)]","[('quantifiers', 0.991370677947998)]","('understand', 0.5443021059036255)"
23,truth_vehicles,"('quantifiers', 0.9953975677490234)","('numbers', 0.9929383993148804)","('pronouns', 0.9927139282226562)","[('truth_functions', 0.9924196004867554)]","[('about', 0.9923238754272461)]","[('specious_present', 0.9830658435821533)]","('underdetermined', 0.5579360127449036)"
24,mentalistic,"('conditioning', 0.9997785091400146)","('ideas', 0.9997357130050659)","('parts', 0.999702513217926)","[('prediction', 0.9996493458747864)]","[('reality', 0.9993815422058105)]","[('quantifiers', 0.9927363395690918)]","('semantical', 0.5518407225608826)"
25,confirmation,"('meaning', 0.9999780654907227)","('about', 0.9999639987945557)","('transparency', 0.9999586939811707)","[('intension', 0.9999403953552246)]","[('objects', 0.9999157190322876)]","[('specious_present', 0.9924834966659546)]","('impredicative', 0.5583629608154297)"
26,description,"('intensional_abstraction', 0.9999748468399048)","('conditionals', 0.9999715089797974)","('nouns', 0.9999715089797974)","[('adjectives', 0.9999690651893616)]","[('logical_particles', 0.9999642372131348)]","[('specious_present', 0.9934811592102051)]","('actually', 0.5646485090255737)"
27,ordered_pair,"('reduction', 0.9999862909317017)","('pronouns', 0.9999668598175049)","('subtraction', 0.9999569654464722)","[('about', 0.9998810291290283)]","[('posit', 0.9998029470443726)]","[('truth_vehicles', 0.9924373626708984)]","('actually', 0.5612199902534485)"
