,term,NN 0,NN 1,NN2,NN 5,NN10,NN 50,Outlier
0,physicalism,"('observation_sentences', 0.8970274925231934)","('variables', 0.8232358694076538)","('phoneme', 0.7797936201095581)","[('truth_functions', 0.7303853034973145)]","[('p.zbl', 0.6079350113868713)]","[('cognized', 0.5701307654380798)]","('nominalism', 0.5484124422073364)"
1,words,"('nominalism', 0.8442181944847107)","('parts', 0.6903293132781982)","('intension', 0.6800811290740967)","[('ambiguity', 0.5907377004623413)]","[('substrings', 0.5368480682373047)]","[('morphemic', 0.485561341047287)]","('meaning', 0.44318604469299316)"
2,quantifiers,"('construction', 0.6827671527862549)","('nouns', 0.4471249580383301)","('words', 0.36067435145378113)","[('pqs', 0.34434643387794495)]","[('submatrices', 0.3426267206668854)]","[('formula_69', 0.3246041238307953)]","('φ', 0.28982439637184143)"
3,variables,"('physicalism', 0.8232358694076538)","('observation_sentences', 0.7793430089950562)","('truth_functions', 0.7590671181678772)","[('translation', 0.7078149318695068)]","[('eigendecomposition', 0.6528847217559814)]","[('formula_190', 0.6196721196174622)]","('objects', 0.5780197978019714)"
4,maxim,"('phoneme', 0.7855128049850464)","('dispositions', 0.7474204301834106)","('learning', 0.7250963449478149)","[('application', 0.553718090057373)]","[('objectively', 0.4875142276287079)]","[('untruthful', 0.4515155851840973)]","('uncritical', 0.43544769287109375)"
5,specious_present,"('relative_terms', 0.8623037338256836)","('ideas', 0.846146821975708)","('information', 0.6013758778572083)","[('attributes', 0.45331189036369324)]","[('reality', 0.17573413252830505)]","[('holts', -0.06907037645578384)]","('crashed', -0.09044940769672394)"
6,phoneme,"('dispositions', 0.8855436444282532)","('ambiguity', 0.8540821075439453)","('maxim', 0.7855128049850464)","[('learning', 0.7607059478759766)]","[('parts', 0.6422239542007446)]","[('horrify', 0.5378962755203247)]","('understood', 0.5169931054115295)"
7,numbers,"('subtraction', 0.8578636646270752)","('truth_vehicles', 0.7420178651809692)","('prediction', 0.690130352973938)","[('hegel’s', 0.49410051107406616)]","[(""feuerbach's"", 0.4786894619464874)]","[('scientism', 0.4331570863723755)]","('philosophy', 0.41298210620880127)"
8,learning,"('divided_reference', 0.7813963294029236)","('phoneme', 0.7607059478759766)","('mentalistic', 0.7312830090522766)","[('physicalism', 0.6496098637580872)]","[('dilettantism', 0.5346634387969971)]","[('disbelieves', 0.48811203241348267)]","('really', 0.4623059630393982)"
9,divided_reference,"('learning', 0.7813963890075684)","('phoneme', 0.7130982875823975)","('ambiguity', 0.6886159181594849)","[('pronouns', 0.5624713897705078)]","[('cringed', 0.466463565826416)]","[('bhutu', 0.4209849536418915)]","('she’s', 0.40189456939697266)"
10,information,"('specious_present', 0.6013758182525635)","('application', 0.5883387327194214)","('meaning', 0.5721819400787354)","[('intensional_abstraction', 0.456917405128479)]","[('mentalistic', 0.32689177989959717)]","[('hear', 0.14770781993865967)]","('speak', 0.11096134036779404)"
11,nominalism,"('ambiguity', 0.8547128438949585)","('parts', 0.8482801914215088)","('words', 0.8442181944847107)","[('truth_functions', 0.7032061219215393)]","[('dispositions', 0.6372416615486145)]","[(""you'd"", 0.49663621187210083)]","('remember', 0.4742145538330078)"
12,paradox,"('time', 0.6619933247566223)","('subtraction', 0.636437177658081)","('numbers', 0.6339281797409058)","[('mentalistic', 0.47825074195861816)]","[('positivists', 0.3099612891674042)]","[('relativism', 0.2657049000263214)]","('carnap', 0.2257571816444397)"
13,truth_functions,"('parts', 0.7626241445541382)","('variables', 0.7590671181678772)","('phoneme', 0.7546464204788208)","[('mental_states', 0.7206820845603943)]","[('__notoc__', 0.5948866605758667)]","[(""noun's"", 0.5035247206687927)]","('application', 0.4880531430244446)"
