,term,#1,#2,#3,#5,#50,outlier
0,physicalism,"('for', 0.6563935279846191)","('languages', 0.6446942687034607)","('so', 0.6289860010147095)","('sure', 0.6088582277297974)","('brief', 0.5460928678512573)","('subclass', 0.530744731426239)"
1,words,"('strategies', 0.7377773523330688)","('theory', 0.7020151019096375)","('manner', 0.7019502520561218)","('confused', 0.6972612142562866)","('interchanged', 0.6313806176185608)","('since', 0.6058261394500732)"
2,quantifiers,"('least', 0.6926895380020142)","('union', 0.6642760038375854)","('said', 0.6599407196044922)","('variables', 0.6537481546401978)","('muddied', 0.5815562605857849)","('refer', 0.5525535941123962)"
3,variables,"('ësome', 0.7059229612350464)","('transparency', 0.6798852682113647)","('least', 0.65696120262146)","('quantifiers', 0.653748095035553)","('hoc', 0.5788602828979492)","('they', 0.551971435546875)"
4,maxim,"('mutilation', 0.615496814250946)","('early', 0.5178142786026001)","('assert', 0.5151416659355164)","('fix', 0.5099278688430786)","('skeptical', 0.45819327235221863)","('corollary', 0.4358968138694763)"
5,specious_present,"('ëif', 0.5704483389854431)","('poorly', 0.5611367225646973)","('prominence', 0.5591021180152893)","('misconstrued', 0.5455656051635742)","('meet', 0.46892204880714417)","('computation', 0.44587674736976624)"
6,phoneme,"('closure', 0.6776297092437744)","('interchanged', 0.674603283405304)","('correspondences', 0.6636561155319214)","('work', 0.6395816802978516)","('as', 0.5949592590332031)","('significance', 0.5637549161911011)"
7,numbers,"('lemma', 0.6123498678207397)","('often', 0.6115906238555908)","('predicate', 0.6105962991714478)","('positivistic', 0.6004506349563599)","('ëaí', 0.5184433460235596)","('z', 0.4999309182167053)"
8,learning,"('hyz', 0.66462242603302)","('systematic', 0.6528339982032776)","('xty', 0.6460698246955872)","('earlier', 0.6348512172698975)","('anticipate', 0.5638448596000671)","('begin', 0.5431960225105286)"
9,divided_reference,"('ôg', 0.7228163480758667)","('exposing', 0.6557410955429077)","('x', 0.6177140474319458)","('lowest', 0.6061868667602539)","(""that'"", 0.5417690873146057)","('logistical', 0.5179572105407715)"
10,information,"('introduction', 0.6031607389450073)","('press', 0.6028655767440796)","('quadruples', 0.597610354423523)","('os', 0.5949708819389343)","('every', 0.5377893447875977)","('too', 0.5078549981117249)"
11,nominalism,"('title', 0.5894978046417236)","('moreover', 0.5562174916267395)","('conviction', 0.5558755397796631)","('sagas', 0.5308815836906433)","('numerology', 0.46663957834243774)","('round', 0.4476543366909027)"
12,paradox,"('speaker', 0.6983096599578857)","('gˆdelís', 0.6804426908493042)","('questioning', 0.6741094589233398)","('hyz', 0.667829155921936)","('applicable', 0.5896707773208618)","('hence', 0.560065746307373)"
13,truth_functions,"('prejudice', 0.6933228969573975)","('belong', 0.6869704127311707)","('tarskiís', 0.6645955443382263)","('ëgí', 0.6528817415237427)","('qualia', 0.5853444337844849)","('linguistic', 0.561744213104248)"
14,dispositions,"('ontology', 0.6854093670845032)","('logic', 0.6678690314292908)","('artificial', 0.6387929916381836)","('and', 0.6265079975128174)","('ironical', 0.563550591468811)","('additional', 0.5455360412597656)"
15,relative_terms,"('talking', 0.7225574254989624)","('champ', 0.7008354663848877)","('step', 0.6384438276290894)","('bewildering', 0.6127603650093079)","('dedicated', 0.5376138687133789)","('nec', 0.5122958421707153)"
16,ideas,"('group', 0.6094392538070679)","('extreme', 0.5827295780181885)","('refer', 0.5751428008079529)","('pre', 0.5672035217285156)","('countenance', 0.5181297659873962)","('world', 0.4953829050064087)"
17,reality,"('talk', 0.6484471559524536)","('numerous', 0.6479671001434326)","('context', 0.6392453908920288)","('linguistic', 0.6357016563415527)","('handedness', 0.5733351111412048)","('own', 0.5526420474052429)"
18,application,"('imaginaries', 0.5845670104026794)","('falsifies', 0.5751041173934937)","('supposedly', 0.5693862438201904)","('sets', 0.5568894147872925)","('crystal', 0.49181365966796875)","('directly', 0.46331045031547546)"
19,reduction,"('is', 0.6291395425796509)","('unstratified', 0.6034550070762634)","('orders', 0.5966803431510925)","('declares', 0.5860415697097778)","('waive', 0.5290167331695557)","('regarding', 0.5108603239059448)"
20,parts,"('ônnkõ', 0.637828528881073)","('there', 0.6142408847808838)","('particular', 0.6118472218513489)","('said', 0.6050604581832886)","('fixes', 0.5610620379447937)","('do', 0.5444464087486267)"
21,ambiguity,"('limitless', 0.6459795236587524)","('recognizing', 0.6046490669250488)","('would', 0.6036527752876282)","('trick', 0.5878221988677979)","('discourse', 0.5400349497795105)","('putting', 0.5124536156654358)"
22,memory,"('corresponding', 0.5325285196304321)","('ëthere', 0.49919530749320984)","('compatriot', 0.49471336603164673)","('rightly', 0.4784570336341858)","('enhancement', 0.4259227514266968)","('ordering', 0.4043812155723572)"
23,truth_vehicles,"('ae', 0.6024858951568604)","('seize', 0.5796809792518616)","('irremediably', 0.5658397078514099)","('inactivated', 0.5458665490150452)","('accommodating', 0.4896109700202942)","('load', 0.4652734100818634)"
24,mentalistic,"('quoted', 0.5985791683197021)","('tarskiís', 0.566815972328186)","('ascribe', 0.5605557560920715)","('explain', 0.5556203126907349)","('accommodate', 0.4987817406654358)","('holophrastic', 0.48225775361061096)"
25,confirmation,"('consisted', 0.6579810976982117)","('matrices', 0.6004530191421509)","('effecting', 0.5819093585014343)","('ordered_pair', 0.5660075545310974)","('denominator', 0.5026227831840515)","('unlimited', 0.4807703495025635)"
26,description,"('comfortable', 0.6608390808105469)","('readings', 0.610724925994873)","('deliberation', 0.6020383834838867)","('take', 0.5919645428657532)","('dots', 0.525016725063324)","('primary', 0.49801409244537354)"
27,ordered_pair,"('text', 0.6822203993797302)","('convenient', 0.6457160115242004)","('seven', 0.6337158679962158)","('descriptions', 0.6153079271316528)","('stripped', 0.5654864311218262)","('talk', 0.5432634949684143)"
28,object,"('centrally', 0.7100331783294678)","('shifts', 0.6643403172492981)","('imbedding', 0.6536840796470642)","('paraguay', 0.6400725841522217)","('at', 0.5391767621040344)","('use', 0.5108727812767029)"
29,mental_states,"('two', 0.6246545314788818)","('expected', 0.6234555244445801)","('objects', 0.6167044639587402)","('opposite', 0.5968732833862305)","('its', 0.5475844144821167)","('produces', 0.5285255908966064)"
30,subtraction,"('definienda', 0.5754572153091431)","('approximation', 0.5496388673782349)","('lamely', 0.5266115069389343)","('investigated', 0.5209420919418335)","('approaching', 0.46244949102401733)","('matrices', 0.43540436029434204)"
31,prediction,"('reminiscence', 0.5872757434844971)","('inessentially', 0.5701300501823425)","('reproduction', 0.5677382946014404)","('variability', 0.5579894185066223)","('analogous', 0.47723066806793213)","('synonymous', 0.4516514241695404)"
32,sense_datum,"('elegantly', 0.6051948070526123)","('conant', 0.5846073627471924)","('load', 0.5818612575531006)","('envisaged', 0.572633683681488)","('semantics', 0.502741813659668)","('disdain', 0.4863155484199524)"
33,pronouns,"('fyí', 0.6274276375770569)","('fx', 0.6260583400726318)","('product', 0.6227723360061646)","('totality', 0.6105082035064697)","('foundationsî', 0.5243068933486938)","('play', 0.49930423498153687)"
34,meaning,"('it', 0.643683671951294)","('attributes', 0.6319859027862549)","('analyticity', 0.6282758712768555)","('definitive', 0.623623251914978)","('quantity', 0.5550453662872314)","('shown', 0.5279760956764221)"
35,construction,"('of', 0.5956979990005493)","('scatter', 0.5660229921340942)","('and', 0.5655723214149475)","('variously', 0.5554894208908081)","('orderings', 0.49949994683265686)","('own', 0.46694228053092957)"
36,conditioning,"('men', 0.6204015016555786)","('standardization', 0.5878096222877502)","('genesis', 0.5727031826972961)","('prima', 0.5682467222213745)","('definienda', 0.516511082649231)","('factor', 0.4939696788787842)"
37,nouns,"('verbs', 0.6451708078384399)","('formalisms', 0.5471775531768799)","('mediately', 0.5463018417358398)","('refer', 0.5393333435058594)","('interpretable', 0.47421795129776)","('fabric', 0.45937955379486084)"
38,translation,"('displays', 0.6867901086807251)","('words', 0.5953409671783447)","('play', 0.5903659462928772)","('remarked', 0.5849884748458862)","('accessible', 0.5114626884460449)","('rest', 0.48619401454925537)"
39,intension,"('our', 0.5926457643508911)","('feel', 0.552222728729248)","('representable', 0.5455968379974365)","('solids', 0.5367469191551208)","('native', 0.48668068647384644)","('elicit', 0.46761682629585266)"
40,about,"('idiom', 0.6822787523269653)","('lighten', 0.673806369304657)","('contemplating', 0.6674448847770691)","('say', 0.6574192047119141)","('an', 0.6022539734840393)","('most', 0.5819364190101624)"
41,propositional_attitudes,"('lucky', 0.6505405902862549)","('foregone', 0.6461062431335449)","('impure', 0.6365180015563965)","('interdependent', 0.6185939908027649)","('introspect', 0.559725284576416)","('tradition', 0.5321826934814453)"
42,utterances,"('approach', 0.6074649095535278)","('individuating', 0.5991277694702148)","('attributions', 0.5983803272247314)","('semantical', 0.5830722451210022)","('occupy', 0.498619943857193)","('sharp', 0.4693948030471802)"
43,quantification,"('forward', 0.72939133644104)","('be', 0.7014376521110535)","('predications', 0.6977862119674683)","('has', 0.6946118474006653)","('powers', 0.6245626211166382)","('itself', 0.6011318564414978)"
44,logical_particles,"('fledged', 0.6207603812217712)","('share', 0.5498558282852173)","('pegasus', 0.5465232133865356)","('distinguish', 0.5403466820716858)","('vocabulary', 0.47590118646621704)","('depending', 0.45691734552383423)"
45,observation_sentences,"('deception', 0.7247908115386963)","('bergstrom', 0.6810970306396484)","('logically', 0.631155252456665)","('semantical', 0.6163530349731445)","('reconciling', 0.5315808057785034)","('empirical', 0.5065978169441223)"
46,adjectives,"('descriptions', 0.6288120150566101)","('phonemic', 0.6137610673904419)","('sophistication', 0.6056536436080933)","('describable', 0.6044138669967651)","('influences', 0.5560622215270996)","('determinations', 0.5339102745056152)"
47,objects,"('define', 0.678478479385376)","('touched', 0.6576835513114929)","('indirect', 0.6480801105499268)","('obscurer', 0.6337018013000488)","('proclaim', 0.5772575736045837)","('no', 0.5601722598075867)"
48,transparency,"('variables', 0.6798852682113647)","('ësome', 0.6578330993652344)","('meaningless', 0.6514948606491089)","('tomorrow', 0.6511287093162537)","('unique', 0.5817239284515381)","('superfluity', 0.5597082376480103)"
49,time,"('fabrication', 0.6555023193359375)","('flesh', 0.6409603357315063)","('peers', 0.629851222038269)","('discontinuous', 0.6281135678291321)","('nevertheless', 0.5699295997619629)","('questions', 0.5505886077880859)"
50,posit,"('inscriptions', 0.66375732421875)","('has', 0.6441497802734375)","('instinctual', 0.6311274766921997)","('smuggled', 0.6118080019950867)","('regimenting', 0.5460432171821594)","('unlikely', 0.5111358165740967)"
51,attributes,"('sign', 0.6922273635864258)","('particular', 0.6847274303436279)","('would', 0.682390570640564)","('let', 0.6657740473747253)","('dots', 0.6017389893531799)","('according', 0.5844135880470276)"
52,meaninglessness,"('apart', 0.6112802028656006)","('counters', 0.5010867118835449)","('encroaches', 0.4831400215625763)","('source', 0.47662094235420227)","('predicable', 0.4280582368373871)","('interchangeability', 0.4155119061470032)"
53,intensional_abstraction,"('quantified', 0.7609108686447144)","('l', 0.7547100186347961)","('purport', 0.7348867654800415)","('october', 0.7087732553482056)","('articles', 0.6525226831436157)","('contrariety', 0.6355081796646118)"
54,conditionals,"('score', 0.6392471790313721)","('inheres', 0.6232591867446899)","('î', 0.6210227608680725)","('quotable', 0.6185045838356018)","('combinations', 0.5561807155609131)","('milk', 0.5224183797836304)"
