,term,#1,#2,#3,#5,#10,#50,outlier
0,physicalism,"('correspondingly', 0.6042724847793579)","('refinement', 0.5837435722351074)","('incompatibility', 0.5827860236167908)","('trappings', 0.570641040802002)","('reducible', 0.5505185723304749)","('tautologies', 0.4807735085487366)","('opposite', 0.44940346479415894)"
1,words,"('explain', 0.6753242015838623)","('are', 0.6568731069564819)","('continues', 0.6478898525238037)","('premack', 0.637627899646759)","('demand', 0.6202481985092163)","('falsifying', 0.577675461769104)","('material', 0.5602807998657227)"
2,quantifiers,"('representing', 0.741980791091919)","('prawitz', 0.7040588855743408)","('being', 0.695273756980896)","('abundance', 0.6705483794212341)","('obtain', 0.664268970489502)","('operative', 0.6304095387458801)","('book', 0.6108224391937256)"
3,variables,"('aussonderungsaxiom', 0.6837558746337891)","('defining', 0.676120936870575)","('imparting', 0.6745376586914062)","('clerk', 0.6420278549194336)","('perm', 0.6361421346664429)","('waters', 0.5801144242286682)","('more', 0.5424065589904785)"
4,maxim,"('minimum', 0.6061750650405884)","('exuberant', 0.594306230545044)","('again', 0.5823254585266113)","('convenience', 0.5612900257110596)","('psychological', 0.5432259440422058)","('suits', 0.5022157430648804)","('seek', 0.48024916648864746)"
5,specious_present,"('leaves', 0.7540522217750549)","('dropped', 0.6904047131538391)","('meet', 0.6592467427253723)","('events', 0.6398519277572632)","('paris', 0.6133823394775391)","('possible', 0.546433687210083)","('sensible', 0.5294733047485352)"
6,phoneme,"('schrˆder', 0.6063171625137329)","('refinement', 0.6051839590072632)","('assure', 0.5955398678779602)","('appealing', 0.5691755414009094)","('modification', 0.5507762432098389)","('long', 0.501542329788208)","('deriving', 0.47614893317222595)"
7,numbers,"('tests', 0.7267031073570251)","('symbolic', 0.6660110354423523)","('take', 0.6539446115493774)","('obtain', 0.6405243873596191)","('decline', 0.6247974634170532)","('specifiable', 0.5939038395881653)","('means', 0.5696845650672913)"
8,learning,"('directly', 0.571384072303772)","('reductio', 0.5335866212844849)","('old', 0.5263323783874512)","('we', 0.5157341957092285)","('columbia', 0.5116766691207886)","('unless', 0.47865086793899536)","('upon', 0.45713597536087036)"
9,divided_reference,"('papers', 0.6400604844093323)","('hxy', 0.6326990127563477)","('fine', 0.6164989471435547)","('isolation', 0.5978942513465881)","('provincial', 0.5635441541671753)","('ëitís', 0.5039263963699341)","('molded', 0.476377010345459)"
